,,,
,Project m - ClassMateBot - https://github.com/lyonva/ClassMateBot ,,
,,,
,Notes,Rating,Evidence
,Video,3,Github repo Readme has a video demonstrating functionality -  https://www.youtube.com/watch?v=U59HyX21S7k
,"Workload is spread over the whole team (one team member is often Xtimes more productive than the others but nevertheless, here is a track record that everyone is contributing a lot)",2,The workload is managed equally by the contributors most of the time. Evidence - The track of commits done: https://github.com/lyonva/ClassMateBot/commits/main  
,Number of commits,3,The track of commits done: https://github.com/lyonva/ClassMateBot/commits/main 
,Number of commits: by different people,2,Can be viewed at https://github.com/lyonva/ClassMateBot/commits/main 
,Issues reports: there are many,1,Project has 22 total issues - 10 open issues : https://github.com/lyonva/ClassMateBot/issues 
,Issues are being closed,3,Project has 12 closed issues : https://github.com/lyonva/ClassMateBot/issues  
,DOI badge: exists,3,The DOI batch exists in GitHub : https://zenodo.org/badge/latestdoi/427123166 
,"Docs: doco generated, format not ugly",3,Docs are well represented and full of screenshots wherever required for better understanding.
,Docs: what: point descriptions of each class/function (in isolation),3,Every class/function is well described.
,"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",2,
,"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",3,Docs properly emphasizes on the reason for the creation of project and its usecases.
,"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",3,The features like pinning Imp messages and adding reminders presented in video and it's probable outcomes convinces to contribute in it.
,Use of version control tools,3,
,Use of style checkers,3,The project uses Black for this task : https://github.com/lyonva/ClassMateBot/blob/main/requirements.txt
,Use of code formatters.,3,The project uses Black for this task : https://github.com/lyonva/ClassMateBot/blob/main/requirements.txt
,Use of syntax checkers.,3,The project uses Black for this task : https://github.com/lyonva/ClassMateBot/blob/main/requirements.txt
,Use of code coverage,3,The project uses Codecov for this task : https://app.codecov.io/gh/lyonva/ClassMateBot 
,Other automated analysis tools,0,
,Test cases exist,3,Multiple test cases are used in the project : https://github.com/lyonva/ClassMateBot/blob/main/test/test_bot.py
,Test cases are routinely executed,0,No evidance 
,The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,https://github.com/lyonva/ClassMateBot/blob/main/CONTRIBUTING.md
,Issues are discussed before they are closed,2,Just the comments/discussions indicating an update or issue fixing have been done : https://github.com/lyonva/ClassMateBot/issues/7 
,Chat channel: exists,0,
,Test cases: a large proportion of the issues related to handling failing cases.,0,
,Evidence that the whole team is using the same tools: everyone can get to all tools and files,3,The Project is Python based so the entire team might have used the same tools.
,"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",3,
,"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",3,No evidence
,Evidence that the members of the team are working across multiple places in the code base,2,"As per commits, the members of the team have contributed in the code and document changes."
,Short release cycles,2,"Short release cycles in months of September and November : https://github.com/lyonva/ClassMateBot/releases  , https://github.com/lyonva/ClassMateBot/tags "
,"Does your website and documentation provide a clear, high-level overview of your software?",Yes,https://github.com/lyonva/ClassMateBot#dart-basic-overview
,Does your website and documentation clearly describe the type of user who should use your software?,Yes,https://github.com/lyonva/ClassMateBot#orange_book-description
,Do you publish case studies to show how your software has been used by yourself and others?,Yes,https://github.com/lyonva/ClassMateBot#1---student-verification 
,Is the name of your project/software unique?,Yes,
,Is your project/software name free from trademark violations?,Yes,
