,,,
,Project p - Wolftrack 3.0 - https://github.com/nehajaideep/WolfTrack3.0 ,,
,,,
,Notes,Rating,Evidence
,Video,3,link present in readme
,Workload is spread over the whole team (one team member is often Xtimes more productive than the others...,3,
,"but nevertheless, here is a track record that everyone is contributing a lot)",3,evidence visible in GH contrbutors insights
,Number of commits,3,in GH
,Number of commits: by different people,3,in GH
,Issues reports: there are many,3,in GH 
,Issues are being closed,3,"22 closed, 0 Open"
,DOI badge: exists,3,Visible in readme
,"Docs: doco generated, format not ugly",3,in GH
,Docs: what: point descriptions of each class/function (in isolation),3,present in docs folder
,"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",2,no specific video/gifs for each case but somewhat explained in bits in youtube videos
,"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",3,present in readme with interactive image
,"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",3,present in readme
,Use of version control tools,3,version control with tags and multiple branches
,Use of style checkers,3,present in .github/workflows/main.yml
,Use of code formatters.,3,present in .github/workflows/main.yml
,Use of syntax checkers.,3,present in .github/workflows/main.yml
,Use of code coverage,3,codecov used
,Other automated analysis tools,3,present in config files
,Test cases exist,3,present in UnitTesting folder
,Test cases are routinely executed,2,"workflow exists, but no history present in GH actions"
,The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,
,Issues are discussed before they are closed,2,closed issue have comments but no specific discussion channels mentioned
,Chat channel: exists,0,no specific discussion channels mentioned
,Test cases: a large proportion of the issues related to handling failing cases.,3,could see only 2 issues regarding test failures
,Evidence that the whole team is using the same tools: everyone can get to all tools and files,3,
,"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",3,
,"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",3,equal contribution of all members show readiness 
,Evidence that the members of the team are working across multiple places in the code base,3,visible through commits with diff on different files
,Short release cycles,3,various release cycles seen with short time periods throughout the project
,"1.1: Does your website and documentation provide a clear, high-level overview of your software?",Yes,in readme
,1.2: Does your website and documentation clearly describe the type of user who should use your software?,Yes,in readme
,1.3: Do you publish case studies to show how your software has been used by yourself and others?,No,
,2.1: Is the name of your project/software unique?,Yes,
,2.2: Is your project/software name free from trademark violations?,Yes,
,3.1: Is your software available as a package that can be deployed without building it?,No,
,3.2: Is your software available for free?,Yes,
,"3.3: Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",Yes,available on public GH repo
,"3.4: Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) orSourceForge (https://sourceforge.net)?",Yes,available on public GH repo
,4.1: Is your documentation clearly available on your website or within your software?,Yes,in GH
,"4.2: Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",Yes,
,"4.3: If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",Yes,in GH
,"4.4: Do you provide a comprehensive guide to all your software’s commands, functions and options?",No,
,4.5: Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,No,
,"4.6: If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",Yes,in GH
,4.7: Do you store your documentation under revision control with your source code?,Yes,in GH
,"4.8: Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",Yes,
,5.1: Does your software describe how a user can get help with using your software?,No,
,"5.2: Does your website and documentation describe what support, if any, you provide to users and developers?",No,
,5.3: Does your project have an e-mail address or forum that is solely for supporting users?,No,
,5.4: Are e-mails to your support e-mail address received by more than one person?,No,
,5.5: Does your project have a ticketing system to manage bug reports and feature requests?,Yes,Issue are handled as tickets
,"5.6: Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",Yes,Issue are handled as tickets
,6.1: Is your software’s architecture and design modular?,Yes,
,6.2: Does your software use an accepted coding standard or convention?,Yes,
,7.1: Does your software allow data to be imported and exported using open data formats?,No,
,7.2: Does your software allow communications using open communications protocols?,Yes,
,8.1: Is your software cross-platform compatible?,Yes,Containers are used for deployment
,9.1: Does your software adhere to appropriate accessibility conventions or standards?,Yes,in readme
,9.2: Does your documentation adhere to appropriate accessibility conventions or standards?,Yes,in readme
,10.1: Is your source code stored in a repository under revision control?,Yes,in GH
,10.2: Is each source code release a snapshot of the repository?,Yes,
